company,drug,indication,stage,therapeutic_area
Company,Drug,Indication,,Therapeutic area
Acurastem,AS - 1,Amyotrophic lateral sclerosis and frontotemporal degeneration,Phase 3,Neurology
Pharnext,PXT3003,Charcot-Marie-Tooth disease type 1A adults,Phase 3,Neurology
Sunovion,SEP-363856,Schizophrenia,Phase 3,Neurology
AI Therapeutics,LAM–002,B-cell non-Hodgkin lymphoma (atezolizumab combination),Phase 2,Oncology
AI Therapeutics,LAM–002,B-cell non-Hodgkin lymphoma (rituximab combination),Phase 2,Oncology
AI Therapeutics,LAM–004,Facial angiofibroma,Phase 2,Rare disease
AI Therapeutics,LAM–002,B-cell non-Hodgkin lymphoma (monotherapy),Phase 2,Oncology
AI Therapeutics,LAM–001,Lymphangioleiomyomatosis,Phase 2,Oncology
Berg,BPM31510,Pancreatic tumors,Phase 2,Oncology
Berg,BPM31510,Squamous cell carcinoma,Phase 2,Oncology
BioXcel Therapeutics,BXCL501,Acute agitation in schizophrenia or bipolar disorder,Phase 2,Neurology
BioXcel Therapeutics,BXCL701,Neuroendocrine prostate cancer,Phase 2,Oncology
BioXcel Therapeutics,BXCL501,Acute agitation in Alzheimer's disease or dementia,Phase 2,Neurology
BioXcel Therapeutics,BXCL701,Pancreatic cancer,Phase 2,Oncology
BlackThorn Therapeutics,BTRX-335140,Mood/anxiety disorders,Phase 2,Neurology
Globavir,GBV006,Dengue infection,Phase 2,Infectious disease
Globavir,GBV006,Chikungunya infection,Phase 2,Infectious disease
Lantern Pharma,LP-100,Prostate and ovarian cancers,Phase 2,Oncology
Pharnext,PXT864,Alzheimer's disease,Phase 2,Neurology
SOM Biotech,SOM0226,TTR amyloidosis,Phase 2,Rare disease
SOM Biotech,SOM3355,Huntington's disease and tardive dyskinesia,Phase 2,Neurology
AI Therapeutics,LAM–003,Acute myeloid leukemia,Phase 1,Oncology
Adagene,ADG106,"Advanced or metastatic solid tumors, and non-Hodgkin's lymphoma",Phase 1,Oncology
Adagene,ADG104,Undisclosed,Phase 1,Undisclosed
Adagene,ADG116,Undisclosed,Phase 1,Undisclosed
Berg,BPM31510,Solid tumors,Phase 1,Oncology
Berg,BPM31510,Glioblastoma multiforma,Phase 1,Oncology
Berg,BPM31510,Epidermolysis bullosa,Phase 1,Oncology
Berg,BPM31543,Chemotherapy-induced alopecia,Phase 1,Oncology
Cotinga Pharmaceuticals,COTI-2,Advanced or recurrent gynecological malignancies,Phase 1,Oncology
Cotinga Pharmaceuticals,COTI-2,HNSCC dose escalation,Phase 1,Oncology
Evaxion Biotech,EVX-01,Personalized cancer immunotherapy,Phase 1,Oncology
Exscientia,DSP-1181,Obsessive-compulsive disorder,Phase 1,Neurology
