company,founded,headquarters,purpose,use
3BIGS,2017,"Suwon, Ch'ungch'ong-namdo, South Korea",Repurpose drugs for new indications,"Discover relationships between diseases, targets, and drugs"
Amplion,2013,"Bend, Oregon, United States","Ensure an effective mix of biomarkers, establish differentiation, recruit the right patients, and identify the best companion diagnostic opportunities",Synthesize biomedical knowledge and biomarker expertise to guide biomarker strategic planning
BioSymetrics,2015,"New York, New York, United States","Integrate rapid analytics and machine learning capabilities into existing business processes to improve care, enhance discoveries, gain insight into business, and enable fast data-driven decisions","Process raw phenotypic, imaging, drug, and genomic data sets"
Biorelate,2014,"Oldham, Oldham, United Kingdom",Extract structured biological knowledge to power drug discovery applications,Create curated databases from the analysis of published scientific literature
Causaly,2017,"London, England, United Kingdom",Search for cause and effect relationships and gather evidence on how biomedical entities interact,Read scientific articles and extract causal associations
Data2Discovery,2012,"San Francisco, California, United States",Understand and treat disease by connecting data in new ways,"Find hidden connections and new insights in diverse, linked datasets"
Data4Cure,2013,"La Jolla, California, United States","Identify new targets and biomarkers, repurpose drugs, and identify disease pathways amenable to combination therapy","Infer and organize knowledge from thousands of genomic, phenotypic, and clinical datasets"
Dexstr,2014,"Toulouse, Midi-Pyrenees, France","Accelerate research, improve regulatory compliance, and increase collaboration between teams and departments",Glean insights from multiple data sources
Elucidata Corporation,2015,"Delhi, Delhi, India",Standardize and streamline analysis of -omics data from multiple sources,Analyze complex biological datasets
Evid Science,2017,"El Segundo, California, United States",Quickly answer any comparative cost and outcome question,Build a database of therapy evidence
Genialis,2015,"Houston, Texas, United States","Reveal previously unseen patterns across large, heterogeneous datasets to predict targets and biomarkers","Analyze multi-omics next-generation sequencing data for contextual, systems-level insights"
HelixAI,2017,"Atlanta, Georgia, United States","Increase efficiency, improve lab safety, keep current on relevant new research, and manage inventory",Respond to verbal questions and requests in a lab setting
Innoplexus,2011,"Eschborn, Hessen, Germany","Improve decision-making by seeing information in context from biomedical data sources including publications, clinical trials, congresses, and theses",Generate insights from billions of disparate data points from thousands of data sources
Intellegens,2017,"Cambridge, Cambridgeshire, United Kingdom","Estimate missing knowledge of how candidate drugs act on proteins, to aid design of new drug cocktails that activate proteins to cure disease",Learn underlying correlations in fragmented datasets with incomplete information
InveniAI,2017,"Guilford, Connecticut, United States",Detect early signals of innovation,Monitor millions of data points for signs of breakthrough events
Iris.ai,2015,"Oslo, Oslo, Norway","Build reading lists faster, with more precision and interdisciplinary inspiration","Establish and find the similarity of document ""fingerprints"" based on a combination of keyword extraction, word embeddings, neural topic modeling, and other natural language understanding techniques"
Kyndi,2014,"San Mateo, California, United States","Understand and extract meaning from internal data sets, especially unstructured ones","Analyze large amounts of data fast and provide explainable, auditable results"
LabTwin,2018,"Berlin, Berlin, Germany",Take notes and organize lab documentation faster and with less effort,Understand voice-based commands and transcribe voice-based notes
LabVoice,2018,"Durham, North Carolina, United States","Use their voice to query lab equipment and software for information, as well as update records, take notes, and trigger actions",Power voice-based interactions
Linguamatics,2001,"Cambridge, Cambridgeshire, United Kingdom",Answer a range of life science questions with natural language queries,Extract and analyze text
Meta,2010,"Toronto, Ontario, Canada",Receive a personalized feed of the most relevant and important research as it's published,Analyze and organize biomedical research
Molecular Health,2004,"Heidelberg, Baden-Wurttemberg, Germany","Improve prediction of drug response and resistance, design more successful trials, and use molecular evidence for market acceptance","Analyze molecular and clinical data of individual patients against the world’s medical, biological, and pharmacological knowledge"
Mozi,2016,"Shenzhen, Guangdong, China","Upload datasets and have them analyzed in the context of global biomedical knowledge, leading to new diagnostic and treatment strategies, particularly for personalized medicine",Find patterns in biomedical data and infer hypotheses for investigation
Omicx,2013,"Rouen, Haute-Normandie, France",Find methodologies and experts in a specialist field,Map and decipher how data sources are connected
OneThree Biotech,2018,"New York, New York, United States","Generate new insights across the drug development pipeline, including for target and mechanism of action discovery","Integrate and analyze data from over 30 types of chemical, biological, and clinical data"
Owkin,2016,"New York, New York, United States","Overcome the problem of data-sharing in healthcare to automate diagnostics, predict treatment outcomes, and optimize clinical trials","Build intelligence from distributed datasets, including through privacy-safe transfer and federated learning"
PatSnap,2007,"Singapore, Central Region, Singapore",Validate chemical development projects,"Analyze over 114 million chemical structures, clinical trial information, regulatory details, toxicity data, and over 121 million patents and other sources"
Percayai,2019,"St Louis, Missouri, United States","Rapidly generate testable hypotheses from complex, omic, and multi-omic data sets","Organize and prioritize data in a contextual manner, enabling interactive 3D diagrams illustrating biological information"
Plex Research,2017,"Cambridge, Massachusetts, United States",Find relevant results for drug discovery-related queries such as compounds for a specified target,Allow for intuitive searches on the world's biomedical research data
Quertle,2008,"Henderson, Nevada, United States",Gain a deeper understanding of a topic and avoid missing key information,Retrieve and visualize relevant results from multiple biomedical data sources
Researchably,2016,"Berkeley, California, United States",Save time searching for information while receiving more relevant and personalized results,"Search and organize information in research papers, clinical trial listings, and patents"
Sparrho,2012,"London, England, United Kingdom",Stay up-to-date with new scientific publications and patents,"Curate, in combination with human expertise, millions of scientific papers from thousands of publications"
StoneWise,2018,"Haidian, Beijing, China","Build knowledge graphs of scientific literature, predict molecular properties, design novel molecules, and perform retro-synthetic analysis","Enable knowledge mining, molecule generation, and property prediction"
ThoughtSpot,2012,"Sunnyvale, California, United States",Speed analysis of clinical trial results and historical genomics data,Enable natural language search on billions of rows of data from any source
Wisecube AI,2016,"Kirkland, Washington, United States","Rank molecules for purchasing, repurpose drugs, and optimize clinical studies",Analyze internal and external datasets
nference,2013,"Cambridge, Massachusetts, United States","Identify competitive white space, eliminate blind spots in research, and discover disease similarities by phenotype for clinical trial design","Extract knowledge in real-time from commercial, scientific, and regulatory literature"
Aiforia,2013,"Helsinki, Southern Finland, Finland","Detect any visible feature or pattern at scale, including in tissues and cells to understand pathophysiology",Analyze images uploaded to their cloud environment
